City,Datetime,PM2.5,PM10,NO2,O3,SO2
Kolkata,2023-06-02 16:00:00,63,166,17,47,23
Delhi,2023-06-02 17:00:00,5,96,65,21,18
Kolkata,2023-06-02 18:00:00,51,10,8,54,17
Mumbai,2023-06-02 19:00:00,30,105,82,46,22
Mumbai,2023-06-02 20:00:00,66,74,31,39,12
Delhi,2023-06-02 21:00:00,164,86,42,32,27
Mumbai,2023-06-02 22:00:00,72,73,5,35,5
Bangalore,2023-06-02 23:00:00,49,126,38,51,13
Mumbai,2023-06-03 00:00:00,92,140,44,52,25
Kolkata,2023-06-03 01:00:00,76,102,38,54,4
Kolkata,2023-06-03 02:00:00,74,74,28,30,1
Kolkata,2023-06-03 03:00:00,81,88,21,39,18
Kolkata,2023-06-03 04:00:00,131,90,62,54,1
Bangalore,2023-06-03 05:00:00,20,53,40,18,2
Chennai,2023-06-03 06:00:00,76,116,70,24,27
Delhi,2023-06-03 07:00:00,27,110,29,30,15
Kolkata,2023-06-03 08:00:00,79,159,31,46,33
Mumbai,2023-06-03 09:00:00,27,146,56,46,3
Kolkata,2023-06-03 10:00:00,45,59,7,25,16
Mumbai,2023-06-03 11:00:00,49,126,15,5,22
Mumbai,2023-06-03 12:00:00,94,47,61,34,3
Kolkata,2023-06-03 13:00:00,92,121,16,13,30
Bangalore,2023-06-03 14:00:00,16,66,5,5,24
Mumbai,2023-06-03 15:00:00,61,43,77,7,1
Mumbai,2023-06-03 16:00:00,35,102,12,35,17
Kolkata,2023-06-03 17:00:00,15,10,43,54,22
Mumbai,2023-06-03 18:00:00,52,11,41,30,10
Mumbai,2023-06-03 19:00:00,49,82,5,33,1
Kolkata,2023-06-03 20:00:00,144,93,34,51,21
Kolkata,2023-06-03 21:00:00,75,73,48,5,44
Delhi,2023-06-03 22:00:00,11,18,47,39,13
Bangalore,2023-06-03 23:00:00,40,53,58,29,36
Bangalore,2023-06-04 00:00:00,95,107,32,40,8
Mumbai,2023-06-04 01:00:00,133,116,54,21,20
Bangalore,2023-06-04 02:00:00,5,89,26,15,27
Mumbai,2023-06-04 03:00:00,5,142,11,32,17
Delhi,2023-06-04 04:00:00,125,107,14,59,14
Kolkata,2023-06-04 05:00:00,73,56,10,45,26
Kolkata,2023-06-04 06:00:00,29,77,60,20,40
Kolkata,2023-06-04 07:00:00,78,26,9,5,21
Bangalore,2023-06-04 08:00:00,5,85,45,5,11
Delhi,2023-06-04 09:00:00,60,140,34,53,15
Bangalore,2023-06-04 10:00:00,71,120,37,12,48
Bangalore,2023-06-04 11:00:00,92,153,67,24,19
Delhi,2023-06-04 12:00:00,24,76,31,53,10
Delhi,2023-06-04 13:00:00,62,150,52,5,4
Delhi,2023-06-04 14:00:00,27,81,40,56,1
Delhi,2023-06-04 15:00:00,68,156,36,25,22
Kolkata,2023-06-04 16:00:00,28,89,85,9,25
Chennai,2023-06-04 17:00:00,45,121,11,25,13
Chennai,2023-06-04 18:00:00,25,156,65,16,17
Delhi,2023-06-04 19:00:00,82,81,53,37,3
Chennai,2023-06-04 20:00:00,90,99,30,18,19
Chennai,2023-06-04 21:00:00,51,147,72,5,23
Delhi,2023-06-04 22:00:00,61,84,5,26,11
Chennai,2023-06-04 23:00:00,9,30,29,5,38
Bangalore,2023-06-05 00:00:00,49,186,15,33,7
Mumbai,2023-06-05 01:00:00,58,68,48,8,21
Mumbai,2023-06-05 02:00:00,151,97,17,21,28
Delhi,2023-06-05 03:00:00,21,142,48,33,17
Kolkata,2023-06-05 04:00:00,111,62,36,26,15
Delhi,2023-06-05 05:00:00,94,44,30,34,1
Kolkata,2023-06-05 06:00:00,69,101,47,42,34
Mumbai,2023-06-05 07:00:00,121,10,34,9,15
Delhi,2023-06-05 08:00:00,73,77,18,28,24
Bangalore,2023-06-05 09:00:00,73,101,96,5,26
Chennai,2023-06-05 10:00:00,58,77,30,34,10
Kolkata,2023-06-05 11:00:00,102,20,5,24,15
Chennai,2023-06-05 12:00:00,98,161,23,12,34
Chennai,2023-06-05 13:00:00,38,94,14,35,4
Delhi,2023-06-05 14:00:00,13,154,56,51,43
Chennai,2023-06-05 15:00:00,52,78,46,21,9
Bangalore,2023-06-05 16:00:00,31,50,47,12,3
Chennai,2023-06-05 17:00:00,57,102,32,32,19
Delhi,2023-06-05 18:00:00,103,80,34,5,44
Bangalore,2023-06-05 19:00:00,43,37,32,18,1
Mumbai,2023-06-05 20:00:00,58,156,38,52,16
Chennai,2023-06-05 21:00:00,62,61,56,31,23
Delhi,2023-06-05 22:00:00,89,10,46,5,18
Mumbai,2023-06-05 23:00:00,5,149,50,5,22
Mumbai,2023-06-06 00:00:00,38,67,49,32,9
Kolkata,2023-06-06 01:00:00,67,62,57,45,10
Bangalore,2023-06-06 02:00:00,102,10,45,5,16
Chennai,2023-06-06 03:00:00,42,168,47,38,4
Delhi,2023-06-06 04:00:00,5,31,63,53,17
Kolkata,2023-06-06 05:00:00,81,92,26,63,13
Bangalore,2023-06-06 06:00:00,37,131,22,35,12
Kolkata,2023-06-06 07:00:00,18,108,16,39,21
Bangalore,2023-06-06 08:00:00,38,87,43,5,1
Bangalore,2023-06-06 09:00:00,53,13,5,67,15
Chennai,2023-06-06 10:00:00,38,53,49,19,45
Bangalore,2023-06-06 11:00:00,5,98,37,13,4
Kolkata,2023-06-06 12:00:00,91,54,62,25,33
Bangalore,2023-06-06 13:00:00,104,99,26,57,18
Chennai,2023-06-06 14:00:00,82,120,35,69,10
Chennai,2023-06-06 15:00:00,20,133,62,32,2
Kolkata,2023-06-06 16:00:00,52,34,67,47,19
Mumbai,2023-06-06 17:00:00,59,188,26,30,35
Mumbai,2023-06-06 18:00:00,80,124,43,11,13
Bangalore,2023-06-06 19:00:00,83,89,45,56,17
Delhi,2023-06-06 20:00:00,34,139,47,18,30
Bangalore,2023-06-06 21:00:00,62,196,34,57,22
Kolkata,2023-06-06 22:00:00,76,25,65,53,1
Kolkata,2023-06-06 23:00:00,110,79,5,41,19
Kolkata,2023-06-07 00:00:00,84,10,31,62,36
Kolkata,2023-06-07 01:00:00,87,98,48,70,17
Kolkata,2023-06-07 02:00:00,62,106,49,26,1
Chennai,2023-06-07 03:00:00,109,88,67,15,22
Mumbai,2023-06-07 04:00:00,74,60,63,5,15
Kolkata,2023-06-07 05:00:00,29,10,34,70,1
Delhi,2023-06-07 06:00:00,109,106,65,22,1
Delhi,2023-06-07 07:00:00,84,155,25,50,29
Delhi,2023-06-07 08:00:00,44,63,58,16,9
Delhi,2023-06-07 09:00:00,43,109,76,57,7
Chennai,2023-06-07 10:00:00,70,19,64,17,17
Delhi,2023-06-07 11:00:00,76,110,42,8,10
Kolkata,2023-06-07 12:00:00,66,72,33,26,19
Bangalore,2023-06-07 13:00:00,70,55,9,20,15
Delhi,2023-06-07 14:00:00,119,55,46,40,3
Chennai,2023-06-07 15:00:00,97,72,17,29,11
Chennai,2023-06-07 16:00:00,66,107,24,41,23
Delhi,2023-06-07 17:00:00,92,30,16,24,18
Bangalore,2023-06-07 18:00:00,23,72,30,18,17
Delhi,2023-06-07 19:00:00,73,88,39,19,41
Chennai,2023-06-07 20:00:00,123,40,45,66,26
Mumbai,2023-06-07 21:00:00,52,170,27,34,28
Kolkata,2023-06-07 22:00:00,30,51,61,5,16
Chennai,2023-06-07 23:00:00,37,59,35,20,20
Delhi,2023-06-08 00:00:00,21,45,24,31,12
Kolkata,2023-06-08 01:00:00,32,170,44,63,27
Delhi,2023-06-08 02:00:00,47,114,79,48,16
Delhi,2023-06-08 03:00:00,10,47,46,13,20
Mumbai,2023-06-08 04:00:00,60,139,32,73,19
Kolkata,2023-06-08 05:00:00,91,99,9,29,17
Kolkata,2023-06-08 06:00:00,28,101,35,52,53
Mumbai,2023-06-08 07:00:00,113,74,44,9,10
Chennai,2023-06-08 08:00:00,77,56,32,5,9
Delhi,2023-06-08 09:00:00,96,105,6,5,26
Bangalore,2023-06-08 10:00:00,36,65,22,5,10
Delhi,2023-06-08 11:00:00,89,171,69,68,14
Delhi,2023-06-08 12:00:00,21,32,68,33,4
Chennai,2023-06-08 13:00:00,91,159,22,13,23
Delhi,2023-06-08 14:00:00,66,84,53,38,24
Mumbai,2023-06-08 15:00:00,79,103,16,33,14
Mumbai,2023-06-08 16:00:00,18,127,68,41,26
Kolkata,2023-06-08 17:00:00,28,61,44,51,1
Bangalore,2023-06-08 18:00:00,80,128,58,24,9
Delhi,2023-06-08 19:00:00,26,10,5,14,15
Delhi,2023-06-08 20:00:00,76,57,53,44,3
Chennai,2023-06-08 21:00:00,12,48,39,44,1
Mumbai,2023-06-08 22:00:00,89,33,57,31,14
Bangalore,2023-06-08 23:00:00,16,80,58,69,26
Kolkata,2023-06-09 00:00:00,79,107,41,22,33
Mumbai,2023-06-09 01:00:00,81,121,27,13,11
Kolkata,2023-06-09 02:00:00,35,100,55,37,26
Chennai,2023-06-09 03:00:00,80,60,38,17,25
Chennai,2023-06-09 04:00:00,69,106,22,38,32
Delhi,2023-06-09 05:00:00,41,95,21,15,13
Bangalore,2023-06-09 06:00:00,24,132,10,22,1
Kolkata,2023-06-09 07:00:00,5,124,29,64,18
Mumbai,2023-06-09 08:00:00,72,91,62,22,5
Chennai,2023-06-09 09:00:00,5,49,43,15,9
Delhi,2023-06-09 10:00:00,63,60,29,51,14
Delhi,2023-06-09 11:00:00,50,65,56,11,13
Kolkata,2023-06-09 12:00:00,83,75,23,17,19
Chennai,2023-06-09 13:00:00,49,102,41,40,26
Bangalore,2023-06-09 14:00:00,48,122,36,46,13
Chennai,2023-06-09 15:00:00,85,87,55,51,22
Kolkata,2023-06-09 16:00:00,71,90,8,16,18
Kolkata,2023-06-09 17:00:00,71,96,22,40,29
Chennai,2023-06-09 18:00:00,76,66,7,21,15
Kolkata,2023-06-09 19:00:00,6,48,34,19,17
Chennai,2023-06-09 20:00:00,86,11,64,51,13
Mumbai,2023-06-09 21:00:00,81,58,29,20,16
Chennai,2023-06-09 22:00:00,24,111,29,35,8
Chennai,2023-06-09 23:00:00,51,58,57,32,7
Kolkata,2023-06-10 00:00:00,58,79,61,10,27
Kolkata,2023-06-10 01:00:00,55,110,38,47,5
Delhi,2023-06-10 02:00:00,71,113,53,40,14
Delhi,2023-06-10 03:00:00,110,41,18,5,30
Mumbai,2023-06-10 04:00:00,97,134,67,34,13
Delhi,2023-06-10 05:00:00,14,140,82,16,27
Chennai,2023-06-10 06:00:00,81,39,50,49,10
Kolkata,2023-06-10 07:00:00,106,52,5,5,5
Delhi,2023-06-10 08:00:00,73,143,28,23,1
Delhi,2023-06-10 09:00:00,98,83,52,36,33
Mumbai,2023-06-10 10:00:00,130,10,31,30,4
Mumbai,2023-06-10 11:00:00,95,27,65,43,26
Chennai,2023-06-10 12:00:00,68,78,51,5,6
Kolkata,2023-06-10 13:00:00,96,37,25,59,33
Mumbai,2023-06-10 14:00:00,65,71,40,39,44
Delhi,2023-06-10 15:00:00,60,91,22,54,1
Kolkata,2023-06-10 16:00:00,47,155,36,45,4
Kolkata,2023-06-10 17:00:00,114,76,28,29,27
Delhi,2023-06-10 18:00:00,31,138,63,6,24
Mumbai,2023-06-10 19:00:00,113,154,82,19,27
Delhi,2023-06-10 20:00:00,77,154,11,58,11
Kolkata,2023-06-10 21:00:00,11,102,5,54,41
Bangalore,2023-06-10 22:00:00,72,10,35,18,19
Bangalore,2023-06-10 23:00:00,5,110,9,5,3
Chennai,2023-06-11 00:00:00,81,137,40,26,14
Delhi,2023-06-11 01:00:00,90,86,54,24,3
Delhi,2023-06-11 02:00:00,39,168,69,25,37
Chennai,2023-06-11 03:00:00,64,128,44,39,10
Chennai,2023-06-11 04:00:00,128,115,36,45,23
Chennai,2023-06-11 05:00:00,42,138,5,47,12
Kolkata,2023-06-11 06:00:00,22,105,40,38,10
Delhi,2023-06-11 07:00:00,111,10,41,5,1
Kolkata,2023-06-11 08:00:00,128,67,52,23,25
Chennai,2023-06-11 09:00:00,60,143,25,71,33
Delhi,2023-06-11 10:00:00,95,53,31,36,7
Kolkata,2023-06-11 11:00:00,106,79,10,36,1
Kolkata,2023-06-11 12:00:00,34,42,5,36,27
Chennai,2023-06-11 13:00:00,43,170,17,37,1
Delhi,2023-06-11 14:00:00,103,165,8,5,32
Chennai,2023-06-11 15:00:00,118,50,46,25,7
Delhi,2023-06-11 16:00:00,79,96,29,29,4
Bangalore,2023-06-11 17:00:00,29,59,29,53,20
Mumbai,2023-06-11 18:00:00,129,117,20,30,5
Mumbai,2023-06-11 19:00:00,41,112,5,5,9
Mumbai,2023-06-11 20:00:00,48,126,70,37,22
Chennai,2023-06-11 21:00:00,71,104,19,15,1
Bangalore,2023-06-11 22:00:00,114,222,31,8,37
Delhi,2023-06-11 23:00:00,89,43,10,14,18
Kolkata,2023-06-12 00:00:00,74,13,59,39,2
Delhi,2023-06-12 01:00:00,76,72,42,52,5
Kolkata,2023-06-12 02:00:00,61,19,23,38,29
Delhi,2023-06-12 03:00:00,79,22,32,41,25
Bangalore,2023-06-12 04:00:00,5,44,73,38,34
Kolkata,2023-06-12 05:00:00,49,48,38,31,9
Chennai,2023-06-12 06:00:00,68,47,36,42,21
Delhi,2023-06-12 07:00:00,19,113,21,5,23
Delhi,2023-06-12 08:00:00,73,67,5,31,26
Kolkata,2023-06-12 09:00:00,52,81,36,11,31
Chennai,2023-06-12 10:00:00,121,130,46,50,9
Chennai,2023-06-12 11:00:00,115,55,61,27,16
Bangalore,2023-06-12 12:00:00,43,78,5,30,10
Chennai,2023-06-12 13:00:00,54,106,17,5,17
Chennai,2023-06-12 14:00:00,57,10,28,48,26
Chennai,2023-06-12 15:00:00,44,10,39,41,1
Mumbai,2023-06-12 16:00:00,66,105,37,40,31
Bangalore,2023-06-12 17:00:00,33,112,37,15,4
Delhi,2023-06-12 18:00:00,20,182,48,16,14
Kolkata,2023-06-12 19:00:00,81,97,21,34,32
Delhi,2023-06-12 20:00:00,82,126,58,17,21
Bangalore,2023-06-12 21:00:00,31,81,48,37,22
Kolkata,2023-06-12 22:00:00,91,103,33,5,3
Bangalore,2023-06-12 23:00:00,37,165,72,21,5
Chennai,2023-06-13 00:00:00,68,10,71,62,29
Kolkata,2023-06-13 01:00:00,88,108,58,37,10
Chennai,2023-06-13 02:00:00,58,186,5,33,12
Delhi,2023-06-13 03:00:00,75,102,71,65,29
Delhi,2023-06-13 04:00:00,41,164,55,5,5
Kolkata,2023-06-13 05:00:00,53,61,80,15,21
Kolkata,2023-06-13 06:00:00,52,88,64,22,18
Bangalore,2023-06-13 07:00:00,33,91,71,45,17
Bangalore,2023-06-13 08:00:00,53,10,57,45,11
Chennai,2023-06-13 09:00:00,5,37,66,14,11
Kolkata,2023-06-13 10:00:00,42,40,79,47,5
Delhi,2023-06-13 11:00:00,50,126,44,22,23
Bangalore,2023-06-13 12:00:00,51,129,8,51,9
Bangalore,2023-06-13 13:00:00,51,104,33,11,29
Delhi,2023-06-13 14:00:00,57,127,47,27,15
Bangalore,2023-06-13 15:00:00,76,82,41,21,5
Chennai,2023-06-13 16:00:00,90,144,15,49,15
Kolkata,2023-06-13 17:00:00,37,90,7,20,13
Delhi,2023-06-13 18:00:00,17,92,25,29,30
Kolkata,2023-06-13 19:00:00,23,78,56,39,13
Bangalore,2023-06-13 20:00:00,42,120,71,39,14
Bangalore,2023-06-13 21:00:00,47,71,58,45,34
Delhi,2023-06-13 22:00:00,33,133,61,33,24
Chennai,2023-06-13 23:00:00,14,39,38,22,37
Mumbai,2023-06-14 00:00:00,44,40,5,23,33
Delhi,2023-06-14 01:00:00,66,120,30,30,7
Mumbai,2023-06-14 02:00:00,80,86,34,34,29
Mumbai,2023-06-14 03:00:00,40,69,30,27,36
Chennai,2023-06-14 04:00:00,45,130,41,30,36
Mumbai,2023-06-14 05:00:00,27,62,48,5,29
Mumbai,2023-06-14 06:00:00,58,80,57,42,29
Chennai,2023-06-14 07:00:00,30,152,34,33,14
Mumbai,2023-06-14 08:00:00,80,159,5,48,7
Mumbai,2023-06-14 09:00:00,5,160,30,30,13
Mumbai,2023-06-14 10:00:00,47,77,40,5,1
Delhi,2023-06-14 11:00:00,70,145,64,23,34
Delhi,2023-06-14 12:00:00,66,47,28,26,14
Delhi,2023-06-14 13:00:00,154,49,50,43,33
Chennai,2023-06-14 14:00:00,72,10,45,5,3
Bangalore,2023-06-14 15:00:00,24,165,40,30,30
Mumbai,2023-06-14 16:00:00,56,51,58,39,12
Mumbai,2023-06-14 17:00:00,5,84,26,18,2
Chennai,2023-06-14 18:00:00,57,49,28,31,37
Mumbai,2023-06-14 19:00:00,30,121,39,18,31
Delhi,2023-06-14 20:00:00,92,73,27,16,20
Bangalore,2023-06-14 21:00:00,40,31,50,22,18
Kolkata,2023-06-14 22:00:00,55,109,25,17,23
Mumbai,2023-06-14 23:00:00,37,25,44,42,20
Delhi,2023-06-15 00:00:00,120,52,37,16,8
Kolkata,2023-06-15 01:00:00,48,10,44,13,13
Bangalore,2023-06-15 02:00:00,124,25,30,61,41
Kolkata,2023-06-15 03:00:00,88,98,33,47,50
Delhi,2023-06-15 04:00:00,76,10,41,5,36
Kolkata,2023-06-15 05:00:00,72,23,44,16,23
Chennai,2023-06-15 06:00:00,73,89,39,34,13
Kolkata,2023-06-15 07:00:00,5,65,74,35,8
Mumbai,2023-06-15 08:00:00,50,179,20,5,9
Mumbai,2023-06-15 09:00:00,89,172,38,50,11
Chennai,2023-06-15 10:00:00,58,50,8,44,43
Delhi,2023-06-15 11:00:00,10,115,47,38,39
Mumbai,2023-06-15 12:00:00,58,123,17,54,26
Bangalore,2023-06-15 13:00:00,119,63,34,38,6
Mumbai,2023-06-15 14:00:00,103,22,32,38,28
Mumbai,2023-06-15 15:00:00,57,89,45,58,15
Delhi,2023-06-15 16:00:00,93,82,28,49,1
Kolkata,2023-06-15 17:00:00,47,70,28,14,21
Mumbai,2023-06-15 18:00:00,5,109,68,41,7
Chennai,2023-06-15 19:00:00,27,56,45,18,8
Kolkata,2023-06-15 20:00:00,114,38,28,39,14
Bangalore,2023-06-15 21:00:00,50,94,34,38,12
Delhi,2023-06-15 22:00:00,51,107,72,5,17
Bangalore,2023-06-15 23:00:00,49,37,35,27,17
Kolkata,2023-06-16 00:00:00,126,131,26,34,1
Kolkata,2023-06-16 01:00:00,116,10,26,22,36
Kolkata,2023-06-16 02:00:00,137,63,29,35,6
Bangalore,2023-06-16 03:00:00,54,78,28,44,6
Kolkata,2023-06-16 04:00:00,70,61,14,29,14
Bangalore,2023-06-16 05:00:00,6,64,17,34,16
Kolkata,2023-06-16 06:00:00,111,174,23,54,35
Chennai,2023-06-16 07:00:00,19,51,51,38,21
Kolkata,2023-06-16 08:00:00,67,199,32,33,24
Bangalore,2023-06-16 09:00:00,21,109,35,12,21
Mumbai,2023-06-16 10:00:00,39,94,65,42,20
Kolkata,2023-06-16 11:00:00,30,111,65,35,21
Mumbai,2023-06-16 12:00:00,38,203,34,53,1
Chennai,2023-06-16 13:00:00,41,45,27,30,15
Delhi,2023-06-16 14:00:00,40,39,22,5,31
Chennai,2023-06-16 15:00:00,89,56,53,5,65
Kolkata,2023-06-16 16:00:00,21,91,35,43,3
Mumbai,2023-06-16 17:00:00,67,12,32,19,23
Mumbai,2023-06-16 18:00:00,102,91,23,37,11
Bangalore,2023-06-16 19:00:00,42,166,24,32,42
Mumbai,2023-06-16 20:00:00,34,96,46,26,1
Bangalore,2023-06-16 21:00:00,51,76,13,28,25
Delhi,2023-06-16 22:00:00,101,62,59,14,1
Kolkata,2023-06-16 23:00:00,66,130,29,29,14
Bangalore,2023-06-17 00:00:00,41,52,37,19,17
Delhi,2023-06-17 01:00:00,76,173,13,23,30
Mumbai,2023-06-17 02:00:00,21,177,39,24,5
Mumbai,2023-06-17 03:00:00,83,101,33,25,25
Delhi,2023-06-17 04:00:00,74,89,38,46,18
Mumbai,2023-06-17 05:00:00,49,136,69,27,21
Delhi,2023-06-17 06:00:00,30,139,43,48,29
Bangalore,2023-06-17 07:00:00,28,53,24,57,2
Bangalore,2023-06-17 08:00:00,78,66,25,45,27
Delhi,2023-06-17 09:00:00,103,30,51,39,11
Bangalore,2023-06-17 10:00:00,37,108,65,35,31
Bangalore,2023-06-17 11:00:00,76,119,45,45,22
Bangalore,2023-06-17 12:00:00,5,29,53,31,15
Chennai,2023-06-17 13:00:00,39,69,52,47,10
Kolkata,2023-06-17 14:00:00,58,29,68,41,27
Mumbai,2023-06-17 15:00:00,28,49,5,23,33
Chennai,2023-06-17 16:00:00,27,114,53,46,11
Bangalore,2023-06-17 17:00:00,36,56,59,31,4
Delhi,2023-06-17 18:00:00,70,76,13,28,26
Bangalore,2023-06-17 19:00:00,53,16,22,21,1
Kolkata,2023-06-17 20:00:00,5,98,22,32,2
Bangalore,2023-06-17 21:00:00,5,88,25,47,5
Delhi,2023-06-17 22:00:00,38,57,30,46,13
Kolkata,2023-06-17 23:00:00,76,81,44,36,1
Bangalore,2023-06-18 00:00:00,5,98,57,40,1
Kolkata,2023-06-18 01:00:00,42,53,61,52,4
Mumbai,2023-06-18 02:00:00,41,23,23,27,25
Mumbai,2023-06-18 03:00:00,108,171,23,9,2
Bangalore,2023-06-18 04:00:00,46,61,66,53,13
Kolkata,2023-06-18 05:00:00,73,85,52,20,41
Delhi,2023-06-18 06:00:00,64,135,41,17,17
Bangalore,2023-06-18 07:00:00,5,248,49,5,22
Mumbai,2023-06-18 08:00:00,86,33,39,40,6
Mumbai,2023-06-18 09:00:00,67,110,50,5,43
Bangalore,2023-06-18 10:00:00,77,58,33,16,11
Kolkata,2023-06-18 11:00:00,197,65,45,40,15
Mumbai,2023-06-18 12:00:00,5,57,9,42,33
Kolkata,2023-06-18 13:00:00,120,39,26,18,15
Mumbai,2023-06-18 14:00:00,49,88,26,27,18
Mumbai,2023-06-18 15:00:00,70,23,32,14,14
Chennai,2023-06-18 16:00:00,58,132,21,20,14
Mumbai,2023-06-18 17:00:00,45,92,29,34,22
Delhi,2023-06-18 18:00:00,40,109,9,20,24
Bangalore,2023-06-18 19:00:00,71,69,50,25,10
Bangalore,2023-06-18 20:00:00,6,73,38,5,8
Kolkata,2023-06-18 21:00:00,86,102,5,50,10
Mumbai,2023-06-18 22:00:00,45,37,23,39,1
Delhi,2023-06-18 23:00:00,20,73,46,44,1
Kolkata,2023-06-19 00:00:00,44,51,29,53,21
Chennai,2023-06-19 01:00:00,104,49,26,15,29
Kolkata,2023-06-19 02:00:00,41,10,38,23,28
Kolkata,2023-06-19 03:00:00,72,150,46,5,1
Mumbai,2023-06-19 04:00:00,34,59,11,86,15
Chennai,2023-06-19 05:00:00,86,142,51,27,4
Kolkata,2023-06-19 06:00:00,83,138,23,48,19
Delhi,2023-06-19 07:00:00,124,32,39,7,12
Delhi,2023-06-19 08:00:00,53,41,39,47,25
Bangalore,2023-06-19 09:00:00,83,205,29,63,17
Chennai,2023-06-19 10:00:00,63,168,19,28,1
Chennai,2023-06-19 11:00:00,105,88,34,11,6
Bangalore,2023-06-19 12:00:00,34,101,72,27,18
Kolkata,2023-06-19 13:00:00,86,61,12,5,19
Chennai,2023-06-19 14:00:00,53,109,73,29,1
Delhi,2023-06-19 15:00:00,57,57,34,44,1
Delhi,2023-06-19 16:00:00,63,10,40,29,18
Mumbai,2023-06-19 17:00:00,68,30,18,24,1
Chennai,2023-06-19 18:00:00,55,90,24,39,1
Kolkata,2023-06-19 19:00:00,67,39,29,40,12
Bangalore,2023-06-19 20:00:00,115,86,19,5,12
Bangalore,2023-06-19 21:00:00,94,41,35,31,7
Kolkata,2023-06-19 22:00:00,90,54,31,73,9
Mumbai,2023-06-19 23:00:00,44,128,77,5,18
Bangalore,2023-06-20 00:00:00,28,101,16,28,9
Chennai,2023-06-20 01:00:00,93,89,42,64,18
Mumbai,2023-06-20 02:00:00,90,129,44,49,13
Chennai,2023-06-20 03:00:00,111,111,18,20,20
Delhi,2023-06-20 04:00:00,38,155,53,33,28
Mumbai,2023-06-20 05:00:00,51,69,32,29,28
Bangalore,2023-06-20 06:00:00,5,70,5,16,33
Mumbai,2023-06-20 07:00:00,46,31,53,28,28
Mumbai,2023-06-20 08:00:00,94,70,17,24,20
Mumbai,2023-06-20 09:00:00,43,133,19,32,12
Mumbai,2023-06-20 10:00:00,82,148,53,16,13
Chennai,2023-06-20 11:00:00,53,133,33,7,7
Delhi,2023-06-20 12:00:00,71,10,58,29,18
Kolkata,2023-06-20 13:00:00,19,138,64,60,26
Mumbai,2023-06-20 14:00:00,62,10,27,31,9
Bangalore,2023-06-20 15:00:00,5,130,55,24,17
Mumbai,2023-06-20 16:00:00,53,73,24,43,9
Bangalore,2023-06-20 17:00:00,5,121,84,27,20
Chennai,2023-06-20 18:00:00,102,30,26,63,11
Bangalore,2023-06-20 19:00:00,87,142,60,29,9
Kolkata,2023-06-20 20:00:00,76,24,56,42,9
Delhi,2023-06-20 21:00:00,113,59,46,16,24
Bangalore,2023-06-20 22:00:00,26,45,26,39,16
Bangalore,2023-06-20 23:00:00,121,11,36,34,12
Delhi,2023-06-21 00:00:00,92,94,5,28,21
Kolkata,2023-06-21 01:00:00,51,171,44,20,13
Mumbai,2023-06-21 02:00:00,99,210,46,18,31
Bangalore,2023-06-21 03:00:00,21,94,42,35,6
Delhi,2023-06-21 04:00:00,31,140,5,41,15
Chennai,2023-06-21 05:00:00,38,100,14,27,1
Delhi,2023-06-21 06:00:00,41,112,25,35,13
